English,Urdu
he is having lunch,وہ دوپہر کا کھانا کھا رہا ہے
even my mom knows,یہاں تک کہ میری ماں جانتی ہے
it is a mess in here,یہ یہاں میں ایک گندگی ہے
can i walk a few steps with you,کیا میں آپ کے ساتھ چند قدم چل سکتا ہوں
i knew the risk,میں خطرے کو جانتا تھا
i have had a lousy day,میں نے ایک گھٹیا دن گزرا ہے
he was crying,وہ رو رہا تھا
everyone survived,ہر کوئی بچ گیا
i am not incompetent,میں نااہل نہیں ہوں
i am a beginner,میں ایک ابتدائی ہوں
zain is out there,زین وہاں سے باہر ہے
i was not a bit tired,میں تھوڑا تھکا ہوا نہیں تھا
start over,دوبارہ شروع کریں
she loves cake,وہ کیک سے محبت کرتی ہے
i like pop music,مجھے پاپ موسیقی پسند ہے
i cant believe it,میں اس پر یقین نہیں کر سکتا
zain didnt give up,زین نے ہمت نہیں ہاری
zain went missing,زین لاپتہ ہو گیا
challenge yourself,اپنے آپ کو چیلنج کریں
do you accept my request for the first time,کیا آپ پہلی بار میری درخواست قبول کرتے ہیں
i am cold,میں ٹھنڈا ہوں
the light went on,روشنی چل گئی
why was i banned,مجھے کیوں پابندی لگائی گئی
the cats are safe,بلیاں محفوظ ہیں
i found out something,مجھے کچھ پتہ چلا
i'll get there at about 2:30,میں تقریبا 2:30 بجے وہاں پہنچجاؤں گا
the pigeon is cooing,کبوتر چل رہا ہے
the boy is kind,لڑکا مہربان ہے
he is a gentleman,وہ ایک شریف آدمی ہے
zains lying,جھوٹ بولنے والے زین
we are happy to see you after many days,ہم کئی دنوں کے بعد آپ کو دیکھ کر خوش ہیں
i cant trust him,میں اس پر بھروسہ نہیں کر سکتا
i am mad at you,میں تم پر پاگل ہوں
call security,سلامتی کال کریں
dont sing,نہ گانا
what would you like to drink with your meal,آپ اپنے کھانے کے ساتھ کیا پینا چاہیں گے
zain isnt greedy,زین لالچی نہیں ہے
we made mistakes,ہم نے غلطیاں کیں
i get you,میں نے آپ کو حاصل
its very dangerous,یہ بہت خطرناک ہے
dont repeat that,اسے نہ دہرائیں
zain is useless,زین بیکار ہے
i cant convince tom,میں ٹام کو قائل نہیں کر سکتا
i am a loner,میں تنہا ہوں
all we need is water,ہمیں صرف پانی کی ضرورت ہے
this is my plan,یہ میرا منصوبہ ہے
be proud of yourself,اپنے آپ پر فخر کریں
zain is sleeping now,زین اب سو رہا ہے
wheres zain now,جہاں زین اب
i beg you to help me,میں آپ سے درخواست کرتا ہوں کہ میری مدد کریں
thats a fish,یہ ایک مچھلی ہے
you have to help us,آپ کو ہماری مدد کرنی ہوگی
i like her novel,مجھے اس کا ناول پسند ہے
he called at my house,اس نے میرے گھر بلایا
do you want to try it,کیا آپ اسے آزمانا چاہتے ہیں
he is always scowling,وہ ہمیشہ گھورتا رہتا ہے
zain is good at math,زین ریاضی میں اچھا ہے
think of your family,اپنے خاندان کے بارے میں سوچیں
perhaps i was wrong,شاید میں غلط تھا
thieves can smell aÂ touristÂ a mile away,چور ایک میل کے فاصلے پر ایک سیاح کی بو سونگھ سکتے ہیں
are you insane,کیا تم پاگل ہو
it is only too true,یہ صرف بہت سچ ہے
i had rather not know,بلکہ میں نہیں جانتا تھا
itâ€™s none of your business,یہ آپ کا کوئی کام نہیں ہے
excuse me,مجھے معاف
i am very discontented,میں بہت غیر مطمئن ہوں
i bet zain forgot,میں شرط لگا تا ہوں زین بھول گیا
i feel so lost,میں بہت کھو یا محسوس کرتا ہوں
they were panting,وہ ہانپ رہے تھے
i can do this alone,میں اکیلے یہ کر سکتے ہیں
we were bored,ہم بور تھے
it was very simple,یہ بہت آسان تھا
i want to see it,میں اسے دیکھنا چاہتا ہوں
i think were even,مجھے لگتا ہے کہ برابر تھے
i play the piano,میں پیانو بجاتا ہوں
i meant no offense,میرا مطلب کوئی جرم نہیں تھا
zain apologized,زین نے معذرت کر لی
we drank all night,ہم نے ساری رات پی لیا
zain is a good kisser,زین ایک اچھا بوسہ لینے والا ہے
zain had a gun,زین کے پاس بندوق تھی
i dont know what to say,میں نہیں جانتا کہ کیا کہنا ہے
he is greedy and lazy,وہ لالچی اور کاہل ہے
mary is weird,مریم عجیب ہے
is that my mug,یہ میرا مگ ہے
please write down this address,براہ کرم یہ پتہ لکھیں
are we leaving soon,کیا ہم جلد ہی جا رہے ہیں
she was found guilty,وہ مجرم پائی گئی
zain answered quickly,زین نے جلدی سے جواب دیا
you survived,آپ بچ گئے
i have been out since morning,میں صبح سے باہر ہوں
he came here again,وہ دوبارہ یہاں آیا
he has a bad temper,اس کا مزاج خراب ہے
they are already here,وہ پہلے ہی یہاں ہیں
whos coming,کون آ رہا ہے
why are we laughing,ہم کیوں ہنس رہے ہیں
weve got enough,ویو کافی مل گیا
i dont drive often,میں اکثر گاڑی نہیں چلاتا
he will reach within a month,وہ ایک ماہ کے اندر اندر پہنچ جائے گا
you are totally right,آپ بالکل ٹھیک کہہ رہے ہیں
zain is dreaming,زین خواب دیکھ رہا ہے
he drives a ferrari,وہ ایک فیراری چلاتا ہے
cotton sucks up water,کپاس پانی چوس تی ہے
he delivered a speech,انہوں نے تقریر کی
the gun is jammed,بندوق جام ہے
are you two ok,کیا آپ دونوں ٹھیک ہیں
donâ€™t lose your temper,اپنا غصہ نہ کھودیں
mondays a holiday,پیر کو چھٹی
zain is thirsty,زین پیاسا ہے
no i didnt help,نہیں میں نے مدد نہیں کی
he is a psychic,وہ ایک نفسیاتی ہے
its getting colder,اس کی سردی بڑھ رہی ہے
i had to work,مجھے کام کرنا پڑا
thats my dictionary,یہ میری لغت ہے
its already seven,اس کے پہلے ہی سات
he is doing penance,وہ تپسیا کر رہا ہے
i am not a canadian,میں کینیڈین نہیں ہوں
beware of the dog,کتے سے ہوشیار رہو
that/he is against me,وہ میرے خلاف ہے
thats simple,یہ آسان ہے
did i win,کیا میں جیت گیا
thats all she wrote,اس نے صرف اتنا ہی لکھا ہے
the train does not leave at 12 am,ٹرین صبح 12 بجے نہیں نکلتی
zain stepped aside,زین ایک طرف ہٹ گیا
i went into details,میں تفصیلات میں گیا
you work hard,آپ سخت محنت کرتے ہیں
i do not like meat,مجھے گوشت پسند نہیں ہے
i will stay here,میں یہاں رہوں گا
we want some advice,ہم کچھ مشورہ چاہتے ہیں
i didnt lie,میں نے جھوٹ نہیں بولا
your time is over,آپ کا وقت ختم ہو گیا ہے
i made a mistake,میں نے ایک غلطی کی
this is our home,یہ ہمارا گھر ہے۔
the spider is dead,مکڑی مر چکی ہے
you are lying,مجھے انتظار کر رہی تھی
i recovered,میں صحت یاب ہوا
set zain free,زین مفت سیٹ کریں
please be polite,براہ مہربانی شائستہ رہیں
his intention is wrong,اس کا ارادہ غلط ہے
i havent eaten yet,میں نے ابھی تک نہیں کھایا ہے
we all have secrets,ہم سب کے پاس راز ہیں
i am not afraid of anything,میں کسی چیز سے نہیں ڈرتا
dont talk,بات نہ کریں
i dont work here,میں یہاں کام نہیں کرتا
the terms were finalized,شرائط کو حتمی شکل دی گئی
i am in the house,میں گھر میں ہوں
i am thinking of you,میں آپ کے بارے میں سوچ رہا ہوں
your mom is here,آپ کی ماں یہاں ہے
are you excited,کیا آپ پرجوش ہیں
he likes soccer a lot,وہ فٹ بال کو بہت پسند کرتا ہے
i love zain so much,میں زین سے بہت محبت کرتا ہوں
what do i look like,میں کیسا نظر آتا ہوں
who will bring revolution in pakistan,جو پاکستان میں انقلاب لائیں گے
i am glad zain left,مجھے خوشی ہے کہ زین چھوڑ دیا
tomll call,ٹمیل کال
can we have separate checks,کیا ہم علیحدہ چیک کر سکتے ہیں
i saw a mouse,میں نے ایک ماؤس دیکھا
i beg to differ,میں اختلاف کرنے کی بھیک مانگتا ہوں
they have lied to me,انہوں نے مجھ سے جھوٹ بولا ہے
i have no money at the moment,میرے پاس اس وقت پیسے نہیں ہیں
he runs fast,وہ تیزی سے دوڑتا ہے
try this candy,اس کینڈی کی کوشش کریں
your bags open,آپ کے بیگ کھلے
we often play chess,ہم اکثر شطرنج کھیلتے ہیں
i kind of miss tom,میں مس ٹام کی طرح
i must go right away,مجھے فورا جانا چاہئے
zain wants to speak,زین بولنا چاہتا ہے
does he come here,کیا وہ یہاں آتا ہے
forgive me,مجھے معاف کر دو
everyone dreams,ہر کوئی خواب دیکھتا ہے
lets try something,کچھ کوشش کرنے دیتا ہے
do you know this,آپ یہ کیسے جانتے ہیں؟
it isnt easy,یہ آسان نہیں ہے
zain was very good,زین بہت اچھا تھا
well done,بہت اچھے!
zain is marys ex,زین مریم سابقہ ہے
when will you go out,آپ کب باہر جائیں گے
tomll stay,ٹمیل قیام
we all feel terrible,ہم سب خوفناک محسوس کرتے ہیں
hows the weather,موسم کس طرح
did he sleep well,کیا وہ اچھی طرح سویا تھا
i trust you all,مجھے تم پر بھروسہ ہے۔
i have got to go now,میں نے اب جانا ہے
this is my mother,یہ میری ماں ہے
it can be repaired,اس کی مرمت کی جا سکتی ہے
itâ€™s brand new,یہ بالکل نیا ہے
it is out of fashion,یہ فیشن سے باہر ہے
zain broke his arm,زین نے اس کا بازو توڑ دیا
i cant wait any more,میں مزید انتظار نہیں کر سکتا
look me up sometime,مجھے کسی وقت دیکھو
you are a loser,آپ ایک ہارنے والے ہیں
how did you get hurt,آپ کو چوٹ کیسے لگی
you are late,آپ کو دیر ہو گئی ہے
was zain on drugs,منشیات پر زین تھا
he is the man you can rely on,یہ وہ بندہ ہے جس پہ آپ بھروسہ کر سکتے ہو۔
they are afraid of me,وہ مجھ سے ڈرتے ہیں
ok i am persuaded,ٹھیک ہے مجھے قائل کیا جاتا ہے
you are wrong in this case,آپ اس معاملے میں غلط ہیں
i want to live,میں جینا چاہتا ہوں
what he says is true,وہ جو کہتا ہے وہ سچ ہے
have a seat,ایک نشست ہے
he is beyond help,وہ مدد سے باہر ہے
its poison,اس کا زہر
good for you,آپ کے لئے اچھا
i donâ€™t mind doing the laundry,مجھے لانڈری کرنے میں کوئی اعتراض نہیں ہے
good afternoon,دو پہر بخیر
is the bridge safe,پل محفوظ ہے
its late,اس کی دیر
return to your seat,اپنی نشست پر واپس آئیں
